"COLUMN_NAME","DATA_TYPE","IS_NULLABLE","CHARACTER_MAXIMUM_LENGTH"
"CODIGO_FILIAL","char","NO","6"
"TICKET","char","NO","8"
"DATA_VENDA","datetime","NO",""
"CODIGO_DESCONTO","char","YES","2"
"CODIGO_CLIENTE","varchar","YES","14"
"PERIODO","char","YES","1"
"DATA_DIGITACAO","datetime","YES",""
"VENDEDOR","char","YES","4"
"OPERACAO_VENDA","char","YES","3"
"CODIGO_TAB_PRECO","char","NO","2"
"COMISSAO","numeric","YES",""
"DESCONTO","numeric","YES",""
"QTDE_TOTAL","int","YES",""
"VALOR_TIKET","numeric","YES",""
"VALOR_PAGO","numeric","YES",""
"VALOR_VENDA_BRUTA","numeric","YES",""
"VALOR_TROCA","numeric","YES",""
"QTDE_TROCA_TOTAL","int","YES",""
"TICKET_IMPRESSO","bit","NO",""
"TERMINAL","char","NO","3"
"GERENTE_LOJA","char","NO","4"
"GERENTE_PERIODO","char","NO","4"
"CODIGO_FILIAL_PGTO","char","YES","6"
"TERMINAL_PGTO","char","YES","3"
"LANCAMENTO_CAIXA","char","YES","7"
"TIMESTAMP","timestamp","YES",""
"VALOR_CANCELADO","numeric","YES",""
"TOTAL_QTDE_CANCELADA","int","YES",""
"DATA_HORA_CANCELAMENTO","datetime","YES",""
"PERIODO_FECHAMENTO","char","YES","2"
"DATA_PARA_TRANSFERENCIA","datetime","YES",""
"FATOR","numeric","YES",""
"SUGESTAO_COD_FORMA_PGTO","char","YES","2"
"VALOR_IPI","numeric","YES",""
"QTDE_ITEM","smallint","YES",""
"MOTIVO_CANCELAMENTO","smallint","YES",""
"TERMINAL_VERNDA_SUSPENSA","char","YES","3"
"TERMINAL_VENDA_SUSPENSA","char","YES","3"
"COD_FIDELIDADE_PROGRAMA","int","YES",""
"QTDE_PONTOS_ACUMULADOS","numeric","YES",""
"QTDE_PONTOS_RESGATADOS","numeric","YES",""
"CPF_CGC_ECF","varchar","YES","19"
"COD_FIDELIDADE_RESGATE","int","YES",""
"VALOR_FRETE","numeric","YES",""
"HORA_ACUMULO_FIDELIDADE","varchar","YES","10"
"HORA_RESGATE_FIDELIDADE","varchar","YES","10"
"ID_ACAO_CAMPANHA","int","YES",""
"ID_MOTIVO_DEVOLUCAO","smallint","YES",""
"LX_HASH","varbinary","YES","16"
"NSU_ACUMULO_FIDELIDADE","varchar","YES","15"
"NSU_RESGATE_FIDELIDADE","varchar","YES","15"
"LX_VENDA_ORIGEM","tinyint","YES",""
"ID_INTERMEDIADOR","int","YES",""
"PGTO_INTERMEDIADOR","bit","YES",""
"DESC_MEIO_PGTO","varchar","YES","60"
"EMPRESA","int","YES",""
"CTB_LANCAMENTO","int","YES",""
"CTB_ITEM","int","YES",""
"ID_ATENDIMENTO","bigint","YES",""
"ID_INTEGRACAO_RESHOP","varchar","YES","20"
